region,currency,price_display,price_micros,basis
US,USD,4.99,4990000,基準価格。競合の実勢が $4.99 に収束（Electrodoc Pro・Mobile Electrician Pro・HiPER Calc Pro）
JP,JPY,800,800000000,最重要市場。税込表示なので手取りは¥727≈$4.72でほぼ$4.99と等価。¥490は旧AppleティアでFX154円では36%引きになる
GB,GBP,3.99,3990000,VAT込みで手取り£3.32≈$4.49。英国の実用アプリの慣例的な価格帯
AT,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
BE,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
CY,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
DE,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
EE,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
ES,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
FI,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
FR,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
GR,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
HR,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
IE,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
IT,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
LT,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
LU,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
LV,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
MT,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
NL,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
PT,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
SI,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
SK,EUR,4.99,4990000,ユーロ圏。VAT込みで手取り€4.19≈$4.87＝US$4.99とほぼ等価。FX直変換の€4.29にすると16%目減りする
BR,BRL,14.90,14900000,約0.58×US。ブラジルは .90 の慣例（.99 ではない）
MX,MXN,59,59000000,約0.70×US。メキシコは末尾9の慣例
CO,COP,7900,7900000000,約0.51×US。ゼロ小数通貨
CL,CLP,2900,2900000000,BR/MXと同じ約0.48×で自動変換値から導出。ゼロ小数通貨
PE,PEN,8.90,8900000,BR/MXと同じ約0.48×で自動変換値から導出
IN,INR,199,199000000,約0.42×US。インドは整数ルピーの慣例
ID,IDR,35000,35000000000,約0.40×US。ゼロ小数通貨
TR,TRY,119,119000000,約0.49×US。**為替が不安定なので四半期ごとに見直すこと**
